Date,Category,Product,Region,Units,Price,Sales,Satisfaction
2025-01-10,Home,Blender,North,1,53.38,53.38,2.9
2025-01-11,Beauty,Lipstick,North,5,16.5,82.5,3.7
2025-01-11,Sports,Running Shoes,North,3,94.07,282.21,3.1
2025-01-11,Electronics,Smartphone,North,2,763.57,1527.14,3.7
2025-01-11,Electronics,Laptop,West,1,1023.63,1023.63,4.5
2025-01-11,Clothing,Jeans,South,1,63.98,63.98,3.6
2025-01-11,Electronics,Smartphone,West,3,708.53,2125.59,3.4
2025-01-11,Sports,Dumbbell,South,1,41.63,41.63,4.0
2025-01-11,Beauty,Perfume,South,2,81.73,163.46,3.5
2025-01-11,Clothing,Sneakers,North,3,80.22,240.66,4.3
2025-01-11,Beauty,Perfume,East,2,80.38,160.76,4.0
2025-01-11,Electronics,Smartphone,North,1,666.15,666.15,5.0
2025-01-12,Sports,Yoga Mat,North,2,28.25,56.5,4.6
2025-01-12,Home,Vacuum,West,1,185.07,185.07,2.5
2025-01-12,Electronics,Headphones,West,2,149.22,298.44,3.8
2025-01-12,Home,Coffee Maker,North,1,87.21,87.21,3.8
2025-01-12,Sports,Yoga Mat,North,1,30.21,30.21,3.2
2025-01-12,Clothing,T-Shirt,East,1,25.64,25.64,3.3
2025-01-13,Clothing,Sneakers,North,2,73.35,146.7,4.2
2025-01-13,Clothing,Sneakers,East,2,80.5,161.0,4.5
2025-01-13,Clothing,Jeans,East,2,57.03,114.06,4.2
2025-01-13,Beauty,Lipstick,South,2,14.84,29.68,5.0
2025-01-13,Electronics,Headphones,North,2,140.47,280.94,3.0
2025-01-14,Electronics,Smartwatch,South,1,264.46,264.46,4.4
2025-01-14,Beauty,Face Cream,South,2,35.61,71.22,3.4
2025-01-14,Electronics,Laptop,South,2,1079.93,2159.86,4.0
2025-01-14,Home,Sofa,East,2,658.38,1316.76,3.9
2025-01-14,Beauty,Perfume,East,3,73.41,220.23,4.0
2025-01-14,Electronics,Headphones,East,1,150.74,150.74,4.5
2025-01-14,Beauty,Face Cream,South,1,38.33,38.33,4.1
2025-01-14,Home,Vacuum,North,2,187.86,375.72,5.0
2025-01-15,Clothing,Jeans,West,2,59.11,118.22,4.1
2025-01-15,Electronics,Smartwatch,East,3,260.36,781.08,4.2
2025-01-15,Beauty,Lipstick,East,1,15.28,15.28,3.5
2025-01-15,Clothing,T-Shirt,East,1,25.24,25.24,3.7
2025-01-15,Sports,Dumbbell,North,1,36.93,36.93,4.4
2025-01-15,Home,Vacuum,East,3,195.46,586.38,4.3
2025-01-15,Beauty,Face Cream,East,2,37.99,75.98,4.3
2025-01-15,Beauty,Mascara,North,3,18.56,55.68,3.8
2025-01-15,Sports,Dumbbell,North,2,37.89,75.78,3.9
2025-01-16,Electronics,Laptop,South,3,978.49,2935.47,2.6
2025-01-16,Home,Coffee Maker,South,1,90.72,90.72,3.4
2025-01-16,Electronics,Laptop,North,1,1079.91,1079.91,4.9
2025-01-16,Home,Blender,East,1,49.32,49.32,4.3
2025-01-16,Home,Sofa,South,3,556.71,1670.13,4.7
2025-01-16,Home,Sofa,North,1,558.2,558.2,5.0
2025-01-16,Sports,Running Shoes,East,1,83.58,83.58,4.2
2025-01-16,Clothing,T-Shirt,South,1,26.61,26.61,5.0
2025-01-17,Sports,Bicycle,West,3,440.76,1322.28,3.9
2025-01-17,Beauty,Lipstick,South,2,13.54,27.08,3.8
2025-01-17,Beauty,Mascara,South,1,19.01,19.01,2.8
2025-01-17,Clothing,Jeans,East,2,55.84,111.68,5.0
2025-01-17,Clothing,T-Shirt,North,3,22.59,67.77,4.3
2025-01-17,Beauty,Lipstick,West,2,13.57,27.14,4.8
2025-01-17,Electronics,Smartwatch,East,1,255.34,255.34,4.3
2025-01-17,Home,Blender,North,5,46.13,230.65,4.3
2025-01-18,Electronics,Laptop,East,1,962.29,962.29,2.9
2025-01-18,Sports,Dumbbell,South,1,42.42,42.42,5.0
2025-01-18,Electronics,Headphones,East,3,147.44,442.32,4.1
2025-01-18,Home,Vacuum,East,1,178.28,178.28,4.8
2025-01-18,Beauty,Face Cream,East,2,33.24,66.48,5.0
2025-01-18,Home,Vacuum,South,2,162.47,324.94,3.6
2025-01-18,Electronics,Smartwatch,North,1,232.43,232.43,5.0
2025-01-18,Sports,Yoga Mat,East,3,29.56,88.68,4.2
2025-01-19,Sports,Dumbbell,South,2,42.69,85.38,5.0
2025-01-19,Clothing,Jeans,South,1,59.29,59.29,3.4
2025-01-19,Home,Blender,West,3,46.82,140.46,4.1
2025-01-19,Clothing,Jacket,South,3,120.64,361.92,4.6
2025-01-19,Beauty,Mascara,South,1,21.47,21.47,2.9
2025-01-20,Home,Blender,North,1,50.95,50.95,4.5
2025-01-20,Sports,Running Shoes,East,1,92.75,92.75,4.0
2025-01-20,Home,Sofa,West,1,653.33,653.33,3.9
2025-01-20,Clothing,Jacket,South,1,110.05,110.05,2.9
2025-01-20,Clothing,T-Shirt,East,1,25.62,25.62,5.0
2025-01-20,Clothing,Jacket,East,3,108.82,326.46,5.0
2025-01-20,Electronics,Smartphone,North,4,671.23,2684.92,3.7
2025-01-20,Beauty,Mascara,North,1,21.47,21.47,4.3
2025-01-20,Electronics,Smartphone,East,2,701.74,1403.48,4.3
2025-01-20,Clothing,T-Shirt,North,1,23.79,23.79,3.2
2025-01-20,Sports,Running Shoes,South,1,97.46,97.46,4.3
2025-01-21,Electronics,Smartphone,South,2,707.58,1415.16,3.8
2025-01-21,Clothing,Jeans,North,1,57.16,57.16,4.6
2025-01-21,Home,Sofa,South,2,612.06,1224.12,2.7
2025-01-21,Clothing,Jeans,West,4,58.25,233.0,3.2
2025-01-21,Electronics,Headphones,North,1,153.09,153.09,3.0
2025-01-21,Beauty,Lipstick,East,2,14.39,28.78,3.6
2025-01-21,Clothing,Jacket,East,1,130.9,130.9,2.8
2025-01-21,Beauty,Face Cream,East,3,37.39,112.17,4.1
2025-01-22,Electronics,Smartphone,South,1,644.92,644.92,4.2
2025-01-22,Home,Sofa,South,1,595.16,595.16,5.0
2025-01-22,Clothing,T-Shirt,West,1,25.97,25.97,2.8
2025-01-22,Beauty,Face Cream,East,3,38.23,114.69,5.0
2025-01-22,Electronics,Headphones,North,2,140.55,281.1,4.5
2025-01-22,Sports,Dumbbell,East,2,41.79,83.58,4.7
2025-01-23,Electronics,Smartphone,North,2,720.53,1441.06,4.3
2025-01-23,Clothing,Sneakers,East,2,87.99,175.98,3.9
2025-01-23,Clothing,Jacket,South,2,110.89,221.78,4.0
2025-01-23,Home,Blender,North,3,49.74,149.22,4.1
2025-01-23,Home,Vacuum,East,1,191.84,191.84,3.1
2025-01-23,Beauty,Lipstick,South,2,16.15,32.3,4.6
2025-01-23,Clothing,Jacket,East,1,109.57,109.57,5.0
2025-01-23,Electronics,Laptop,South,1,1004.03,1004.03,4.4
2025-01-23,Beauty,Perfume,South,3,72.39,217.17,4.8
2025-01-23,Home,Blender,East,1,45.09,45.09,4.2
2025-01-23,Electronics,Laptop,South,2,995.98,1991.96,3.8
2025-01-23,Beauty,Lipstick,North,1,14.22,14.22,5.0
2025-01-24,Clothing,Sneakers,South,1,75.74,75.74,2.7
2025-01-24,Beauty,Mascara,East,3,21.8,65.4,3.2
2025-01-24,Home,Sofa,South,3,657.88,1973.64,4.9
2025-01-24,Clothing,T-Shirt,East,1,27.46,27.46,4.4
2025-01-24,Beauty,Lipstick,East,3,14.19,42.57,3.9
2025-01-24,Clothing,Jacket,West,1,116.4,116.4,4.1
2025-01-24,Electronics,Laptop,East,2,1019.45,2038.9,4.3
2025-01-24,Clothing,Jeans,North,3,55.85,167.55,2.8
2025-01-24,Sports,Bicycle,North,2,453.33,906.66,3.5
2025-01-24,Electronics,Smartwatch,East,1,238.65,238.65,4.3
2025-01-24,Home,Coffee Maker,South,3,96.52,289.56,4.7
2025-01-24,Home,Vacuum,West,1,171.1,171.1,5.0
2025-01-25,Clothing,Jeans,South,1,65.55,65.55,4.9
2025-01-25,Home,Sofa,West,2,621.36,1242.72,4.2
2025-01-25,Sports,Dumbbell,South,3,40.17,120.51,3.7
2025-01-25,Electronics,Laptop,East,4,947.74,3790.96,3.8
2025-01-25,Beauty,Face Cream,East,1,36.77,36.77,3.9
2025-01-25,Clothing,Sneakers,South,2,85.31,170.62,3.5
2025-01-25,Clothing,Sneakers,North,5,81.87,409.35,3.1
2025-01-25,Beauty,Mascara,West,1,21.27,21.27,4.8
2025-01-25,Home,Vacuum,East,4,181.49,725.96,5.0
2025-01-26,Sports,Yoga Mat,West,3,28.04,84.12,3.0
2025-01-26,Beauty,Face Cream,West,1,36.46,36.46,2.8
2025-01-26,Clothing,Sneakers,East,5,85.64,428.2,5.0
2025-01-26,Sports,Bicycle,West,2,463.28,926.56,3.7
2025-01-26,Electronics,Smartphone,East,3,698.41,2095.23,4.1
2025-01-26,Clothing,Jacket,South,1,111.81,111.81,4.3
2025-01-26,Sports,Dumbbell,East,1,37.77,37.77,5.0
2025-01-26,Beauty,Perfume,East,4,76.37,305.48,4.0
2025-01-26,Sports,Running Shoes,West,4,96.43,385.72,3.3
2025-01-27,Electronics,Laptop,East,1,962.39,962.39,5.0
2025-01-27,Home,Sofa,North,1,618.2,618.2,4.9
2025-01-27,Beauty,Mascara,East,1,21.87,21.87,4.5
2025-01-27,Home,Vacuum,South,2,189.4,378.8,4.6
2025-01-27,Beauty,Lipstick,West,2,16.26,32.52,4.1
2025-01-27,Electronics,Smartphone,West,2,664.66,1329.32,5.0
2025-01-27,Electronics,Smartwatch,East,1,257.58,257.58,3.0
2025-01-28,Sports,Yoga Mat,South,1,29.35,29.35,5.0
2025-01-28,Home,Coffee Maker,North,3,96.48,289.44,4.2
2025-01-28,Electronics,Laptop,West,1,1097.33,1097.33,3.7
2025-01-28,Beauty,Mascara,North,1,20.24,20.24,4.4
2025-01-28,Electronics,Laptop,North,3,916.5,2749.5,2.6
2025-01-29,Clothing,Jeans,East,2,56.41,112.82,4.5
2025-01-29,Sports,Running Shoes,East,4,81.57,326.28,4.3
2025-01-29,Electronics,Smartphone,West,2,751.94,1503.88,3.7
2025-01-29,Home,Blender,East,2,51.61,103.22,5.0
2025-01-29,Clothing,Jeans,South,1,59.77,59.77,4.0
2025-01-29,Clothing,Jeans,West,1,56.97,56.97,3.2
2025-01-29,Sports,Running Shoes,South,1,86.92,86.92,4.7
2025-01-29,Sports,Running Shoes,West,2,89.97,179.94,4.5
2025-01-29,Clothing,Jacket,South,2,115.98,231.96,3.5
2025-01-29,Home,Blender,North,1,45.72,45.72,4.2
2025-01-29,Electronics,Headphones,West,4,140.23,560.92,5.0
2025-01-29,Sports,Bicycle,West,5,438.39,2191.95,4.0
2025-01-29,Clothing,T-Shirt,East,1,25.39,25.39,4.1
2025-01-29,Clothing,Jacket,South,2,127.03,254.06,5.0
2025-01-30,Home,Vacuum,South,1,174.93,174.93,5.0
2025-01-30,Electronics,Headphones,South,4,156.47,625.88,4.1
2025-01-30,Clothing,Sneakers,South,1,87.54,87.54,4.2
2025-01-30,Beauty,Lipstick,East,2,15.28,30.56,5.0
2025-01-30,Beauty,Perfume,East,1,74.62,74.62,3.2
2025-01-30,Beauty,Mascara,West,1,21.88,21.88,5.0
2025-01-30,Home,Vacuum,East,1,177.91,177.91,5.0
2025-01-31,Electronics,Laptop,West,4,1017.58,4070.32,3.7
2025-01-31,Electronics,Smartwatch,South,1,233.38,233.38,4.9
2025-01-31,Sports,Dumbbell,North,1,41.64,41.64,5.0
2025-01-31,Beauty,Face Cream,North,5,31.74,158.7,3.9
2025-01-31,Clothing,T-Shirt,North,1,23.11,23.11,3.8
2025-01-31,Sports,Running Shoes,North,2,82.86,165.72,3.5
2025-01-31,Clothing,Sneakers,East,4,72.08,288.32,5.0
2025-01-31,Clothing,T-Shirt,North,1,25.4,25.4,2.5
2025-01-31,Beauty,Face Cream,West,1,32.43,32.43,4.4
2025-01-31,Clothing,Jeans,West,4,62.08,248.32,4.4
2025-01-31,Sports,Running Shoes,South,2,85.6,171.2,3.7
2025-01-31,Clothing,Jacket,South,1,108.42,108.42,4.3
2025-01-31,Electronics,Smartwatch,East,2,271.55,543.1,4.3
2025-02-01,Electronics,Headphones,East,1,154.77,154.77,3.6
2025-02-01,Beauty,Perfume,South,1,81.68,81.68,4.4
2025-02-01,Electronics,Laptop,North,3,1074.15,3222.45,5.0
2025-02-01,Beauty,Perfume,North,4,84.24,336.96,4.6
2025-02-01,Home,Vacuum,South,3,189.44,568.32,5.0
2025-02-02,Electronics,Laptop,East,2,1026.04,2052.08,4.0
2025-02-02,Sports,Running Shoes,West,2,90.87,181.74,2.5
2025-02-02,Clothing,Jacket,East,2,112.04,224.08,5.0
2025-02-02,Clothing,Jeans,North,3,58.56,175.68,2.2
2025-02-02,Sports,Dumbbell,South,1,36.87,36.87,5.0
2025-02-02,Sports,Running Shoes,West,1,89.58,89.58,5.0
2025-02-02,Beauty,Face Cream,East,1,31.63,31.63,4.5
2025-02-02,Sports,Bicycle,East,4,426.91,1707.64,3.6
2025-02-02,Sports,Bicycle,West,2,452.08,904.16,4.0
2025-02-02,Sports,Running Shoes,West,1,90.7,90.7,5.0
2025-02-02,Electronics,Laptop,West,2,1064.63,2129.26,4.8
2025-02-02,Beauty,Perfume,East,2,80.4,160.8,4.3
2025-02-03,Beauty,Mascara,West,3,18.35,55.05,3.5
2025-02-03,Beauty,Mascara,North,4,20.53,82.12,5.0
2025-02-03,Beauty,Lipstick,South,2,14.14,28.28,4.5
2025-02-03,Clothing,T-Shirt,North,3,27.03,81.09,2.9
2025-02-03,Beauty,Perfume,West,1,85.16,85.16,4.5
2025-02-03,Clothing,T-Shirt,South,1,26.33,26.33,3.3
2025-02-03,Electronics,Headphones,West,1,160.88,160.88,4.0
2025-02-03,Electronics,Smartphone,West,1,673.72,673.72,4.6
2025-02-03,Electronics,Smartphone,North,1,713.23,713.23,3.2
2025-02-03,Clothing,Sneakers,East,2,81.55,163.1,2.7
2025-02-03,Electronics,Laptop,East,1,1098.25,1098.25,2.6
2025-02-03,Home,Sofa,South,4,580.47,2321.88,3.6
2025-02-03,Sports,Dumbbell,West,1,37.53,37.53,4.9
2025-02-03,Home,Vacuum,North,1,184.22,184.22,4.6
2025-02-04,Clothing,Jacket,South,1,113.54,113.54,5.0
2025-02-04,Clothing,Jacket,West,2,123.88,247.76,4.0
2025-02-04,Beauty,Perfume,West,2,87.39,174.78,5.0
2025-02-04,Electronics,Headphones,West,1,147.28,147.28,2.3
2025-02-04,Beauty,Face Cream,West,2,31.64,63.28,3.8
2025-02-04,Beauty,Lipstick,North,1,15.51,15.51,4.9
2025-02-04,Electronics,Laptop,West,1,1001.37,1001.37,3.7
2025-02-04,Sports,Yoga Mat,West,1,28.82,28.82,3.6
2025-02-04,Home,Coffee Maker,North,3,90.18,270.54,4.0
2025-02-05,Clothing,Sneakers,South,4,80.25,321.0,4.4
2025-02-05,Sports,Bicycle,South,1,450.1,450.1,4.2
2025-02-05,Clothing,T-Shirt,East,2,25.87,51.74,3.6
2025-02-05,Beauty,Perfume,North,1,77.16,77.16,4.5
2025-02-05,Home,Vacuum,East,5,174.46,872.3,5.0
2025-02-05,Electronics,Laptop,South,2,962.75,1925.5,4.6
2025-02-05,Electronics,Smartphone,West,1,737.07,737.07,2.2
2025-02-05,Electronics,Laptop,North,1,924.35,924.35,4.3
2025-02-05,Beauty,Lipstick,East,2,16.39,32.78,4.1
2025-02-05,Sports,Running Shoes,South,1,96.77,96.77,4.6
2025-02-05,Sports,Running Shoes,South,1,91.85,91.85,5.0
2025-02-06,Clothing,T-Shirt,South,3,24.92,74.76,2.6
2025-02-06,Electronics,Headphones,East,1,140.12,140.12,3.6
2025-02-06,Beauty,Lipstick,West,1,15.4,15.4,4.9
2025-02-06,Sports,Running Shoes,West,2,86.51,173.02,2.2
2025-02-06,Sports,Bicycle,East,1,445.48,445.48,4.9
2025-02-06,Home,Sofa,South,2,639.3,1278.6,3.7
2025-02-07,Sports,Yoga Mat,East,2,27.82,55.64,2.1
2025-02-07,Electronics,Laptop,North,2,1066.86,2133.72,4.1
2025-02-07,Electronics,Smartwatch,East,3,247.72,743.16,3.9
2025-02-07,Sports,Yoga Mat,South,1,27.9,27.9,4.1
2025-02-07,Electronics,Laptop,West,1,1071.91,1071.91,5.0
2025-02-07,Clothing,T-Shirt,North,3,27.28,81.84,5.0
2025-02-07,Beauty,Mascara,North,4,19.12,76.48,3.3
2025-02-07,Beauty,Mascara,North,1,21.3,21.3,3.4
2025-02-07,Electronics,Headphones,North,2,137.0,274.0,2.5
2025-02-07,Home,Coffee Maker,West,1,98.79,98.79,4.8
2025-02-08,Home,Sofa,North,2,654.78,1309.56,5.0
2025-02-08,Clothing,Jacket,South,5,131.8,659.0,3.3
2025-02-08,Sports,Yoga Mat,South,1,31.59,31.59,2.8
2025-02-08,Beauty,Lipstick,East,1,15.85,15.85,4.0
2025-02-08,Electronics,Smartphone,East,4,635.87,2543.48,4.1
2025-02-08,Sports,Bicycle,West,1,447.69,447.69,4.9
2025-02-08,Beauty,Perfume,East,1,72.7,72.7,4.2
2025-02-09,Electronics,Laptop,West,1,986.42,986.42,4.7
2025-02-09,Beauty,Lipstick,West,3,14.09,42.27,4.3
2025-02-09,Sports,Running Shoes,South,3,95.69,287.07,4.9
2025-02-09,Sports,Yoga Mat,West,2,31.49,62.98,3.5
2025-02-09,Beauty,Mascara,East,3,19.28,57.84,4.4
2025-02-09,Sports,Yoga Mat,South,2,27.79,55.58,2.8
2025-02-10,Home,Blender,West,1,48.42,48.42,4.8
2025-02-10,Home,Blender,South,2,50.65,101.3,4.9
2025-02-10,Beauty,Face Cream,North,1,36.83,36.83,4.0
2025-02-10,Electronics,Smartwatch,North,1,269.07,269.07,4.2
2025-02-10,Home,Sofa,West,1,636.01,636.01,5.0
2025-02-10,Home,Blender,South,3,48.55,145.65,4.5
2025-02-11,Beauty,Perfume,South,1,84.18,84.18,3.6
2025-02-11,Clothing,T-Shirt,North,3,25.89,77.67,4.7
2025-02-11,Home,Coffee Maker,South,1,87.63,87.63,4.7
2025-02-11,Home,Vacuum,North,1,185.87,185.87,4.5
2025-02-11,Sports,Yoga Mat,South,1,28.0,28.0,3.0
2025-02-11,Beauty,Lipstick,South,1,15.67,15.67,2.9
2025-02-11,Clothing,Jacket,West,2,121.46,242.92,5.0
2025-02-11,Beauty,Mascara,East,1,19.99,19.99,4.7
2025-02-12,Sports,Bicycle,South,1,493.38,493.38,4.3
2025-02-12,Sports,Bicycle,South,1,434.54,434.54,5.0
2025-02-12,Clothing,Jacket,West,3,109.5,328.5,4.8
2025-02-12,Sports,Dumbbell,North,1,41.1,41.1,4.9
2025-02-12,Home,Blender,South,2,54.91,109.82,4.4
2025-02-12,Clothing,Jeans,East,1,54.31,54.31,3.1
2025-02-12,Sports,Yoga Mat,North,3,32.58,97.74,3.7
2025-02-12,Sports,Bicycle,North,4,444.17,1776.68,3.2
2025-02-12,Beauty,Perfume,South,2,73.29,146.58,1.9
2025-02-12,Electronics,Smartwatch,South,1,227.86,227.86,4.1
2025-02-13,Beauty,Mascara,North,1,21.83,21.83,4.1
2025-02-13,Beauty,Face Cream,East,3,33.43,100.29,4.0
2025-02-13,Clothing,Sneakers,West,1,84.15,84.15,3.8
2025-02-13,Beauty,Perfume,South,1,80.99,80.99,4.2
2025-02-13,Clothing,T-Shirt,East,3,24.24,72.72,4.3
2025-02-13,Sports,Yoga Mat,South,1,29.51,29.51,4.6
2025-02-13,Electronics,Laptop,South,1,1095.91,1095.91,3.5
2025-02-13,Electronics,Headphones,East,2,164.16,328.32,4.7
2025-02-13,Electronics,Laptop,North,2,904.41,1808.82,3.5
2025-02-13,Electronics,Laptop,West,3,922.95,2768.85,4.1
2025-02-13,Clothing,Jacket,North,2,127.0,254.0,3.1
2025-02-13,Clothing,T-Shirt,South,4,23.33,93.32,4.6
2025-02-13,Electronics,Smartphone,South,1,694.72,694.72,4.7
2025-02-14,Beauty,Face Cream,South,3,38.35,115.05,5.0
2025-02-14,Electronics,Smartwatch,West,1,237.93,237.93,5.0
2025-02-14,Sports,Running Shoes,South,1,83.91,83.91,3.6
2025-02-14,Sports,Dumbbell,West,3,43.88,131.64,4.9
2025-02-14,Electronics,Smartphone,West,1,741.77,741.77,4.1
2025-02-14,Electronics,Headphones,South,1,137.8,137.8,3.8
2025-02-14,Beauty,Mascara,North,2,20.31,40.62,3.8
2025-02-14,Electronics,Headphones,East,2,162.45,324.9,4.6
2025-02-14,Beauty,Perfume,East,1,81.82,81.82,3.5
2025-02-14,Home,Vacuum,East,1,197.41,197.41,3.8
2025-02-14,Sports,Bicycle,West,1,478.83,478.83,3.8
2025-02-14,Home,Sofa,North,2,636.43,1272.86,4.1
2025-02-15,Sports,Dumbbell,South,1,41.08,41.08,4.6
2025-02-15,Clothing,Jacket,East,1,111.89,111.89,5.0
